Evaluation/TerminationRate,ShortRL/MeanHeuristic,QF/Qf1Loss,ShortRL/MaxHeuristic,Policy/Loss,ShortRL/StdHeuristic,Evaluation/AverageReturn,Evaluation/MinReturn,ShortRL/RewardScale,AlphaTemperature/mean,ShortRL/RewardBias,TotalEnvSteps,QF/Qf2Loss,ShortRL/Lambda,ShortRL/GuidanceDiscount,ReplayBuffer/buffer_size,Evaluation/MaxReturn,ShortRL/MinHeuristic,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,ShortRL/Discount0,Average/TrainAverageReturn,Evaluation/NumEpisodes,Evaluation/Iteration
0.0,0.0,1.3428348302841187,0.0,-79.17688751220703,0.0,-7.540383568899263,-8.207891739937942,0.8613633155075199,0.7676388621330261,-0.22181545467205288,10000,1.3745192289352417,1.0,0.99,10000,-6.800666187845252,0.0,0.532139315748131,-1.141049317529314,0.99,-266.6262599897648,10,0
0.0,0.0,0.9392945766448975,0.0,-123.09718322753906,0.0,-4.003170779449865,-5.4899072358007945,0.8613633155075199,0.595276951789856,-0.22181545467205288,20000,1.004077672958374,1.0,0.99,20000,-2.807281937282905,0.0,0.7416789322105115,-0.8150651673924972,0.99,-280.8929025401286,10,1
0.0,0.0,1.8492356538772583,0.0,-138.69827270507812,0.0,-35.879464167694394,-37.34307037670559,0.8613633155075199,0.46304070949554443,-0.22181545467205288,30000,1.6528464555740356,1.0,0.99,30000,-34.988245740926054,0.0,0.7528806854167424,-2.861383822857896,0.99,-288.05028344916605,10,2
0.0,0.0,1.6316606998443604,0.0,-135.6676025390625,0.0,-43.02445569470019,-51.76015881007648,0.8613633155075199,0.3611791431903839,-0.22181545467205288,40000,1.7660315036773682,1.0,0.99,40000,-13.648755327177344,0.0,14.35394962305697,0.8816691245743229,0.99,-280.44547574524233,10,3
0.0,0.0,2.018242597579956,0.0,-123.49883270263672,0.0,-43.50144954514285,-47.17045154037767,0.8613633155075199,0.2820734679698944,-0.22181545467205288,50000,1.947222352027893,1.0,0.99,50000,-41.236527936644734,0.0,1.8221807394896332,2.927288046871965,0.99,-250.13217543677888,10,4
0.0,0.0,2.03647780418396,0.0,-106.36470031738281,0.0,-54.033996742510325,-65.83786917741055,0.8613633155075199,0.22048813104629517,-0.22181545467205288,60000,1.933221459388733,1.0,0.99,60000,-45.19274573647424,0.0,6.269522841392379,-3.2279571369438793,0.99,-234.3781314617489,10,5
0.0,0.0,1.8286526203155518,0.0,-89.29733276367188,0.0,-26.988010715934127,-27.839201682732202,0.8613633155075199,0.17224961519241333,-0.22181545467205288,70000,1.6950922012329102,1.0,0.99,70000,-26.39116621631593,0.0,0.4677279730898848,-1.1800022815498097,0.99,-222.3138667036007,10,6
0.0,0.0,1.891900658607483,0.0,-73.0025634765625,0.0,-77.87719120961808,-80.80040572046973,0.8613633155075199,0.134751558303833,-0.22181545467205288,80000,1.955480694770813,1.0,0.99,80000,-75.22757634966898,0.0,2.09977502535074,-3.19253585422674,0.99,-188.2192915745618,10,7
0.0,0.0,1.5355829000473022,0.0,-62.460548400878906,0.0,1244.0286522147856,1185.7633996695597,0.8613633155075199,0.10575734078884125,-0.22181545467205288,90000,1.5192601680755615,1.0,0.99,90000,1261.172975372948,0.0,21.776007130217682,105.05697496206578,0.99,-135.04330460510852,10,8
0.0,0.0,2.1292152404785156,0.0,-61.651485443115234,0.0,1553.654485149084,810.3009890126075,0.8613633155075199,0.08387511968612671,-0.22181545467205288,100000,2.215355634689331,1.0,0.99,100000,1756.4597688758881,0.0,267.5354788603424,143.5284559096081,0.99,-49.847498915393636,10,9
0.0,0.0,1.9697295427322388,0.0,-60.1572151184082,0.0,2545.463573807455,2402.645427151355,0.9467835495528758,0.06721436977386475,-0.1363952206266969,110000,2.0869431495666504,1.0,0.99,110000,2665.098908312397,0.0,95.49809311099553,206.50871590197394,0.99,46.99699514465965,10,10
0.0,0.0,3.0105197429656982,0.0,-70.77304077148438,0.0,2023.4923530040378,679.1950278503198,1.1115198632177494,0.054532524198293686,0.028341093038176668,120000,3.169619560241699,1.0,0.99,120000,2706.9728642386476,0.0,705.2707420522165,219.0002097855003,0.99,199.279356017737,10,11
0.0,0.0,3.888411521911621,0.0,-79.73381042480469,0.0,2586.1074456595416,2486.832053160698,1.2223801450906995,0.04577907919883728,0.13920137491112672,130000,3.2787771224975586,1.0,0.99,130000,2678.4039741874835,0.0,62.32498363381375,215.43530706251076,0.99,300.14262512785103,10,12
0.0,0.0,4.674185276031494,0.0,-105.63125610351562,0.0,2850.3219046821805,2748.9561698324883,1.354583650762296,0.03834567964076996,0.27140488058272316,140000,4.172941207885742,1.0,0.99,140000,2977.005223364883,0.0,67.157765304345,230.99627481165572,0.99,444.68740767394405,10,13
0.0,0.0,5.074094772338867,0.0,-118.4109878540039,0.0,2784.4681488081887,2612.3704050379374,1.4616524654892367,0.03290671855211258,0.3784736953096639,150000,5.5192999839782715,1.0,0.99,150000,2895.2792591006673,0.0,78.15153258572292,241.95275427999633,0.99,574.0107812477777,10,14
